site_code,region_name,region_lat_name,region_code_label,avg_site_lat,sst20_summer_mean_c,sst20_summer_sd_c,sst21_summer_mean_c,sst21_summer_sd_c,sst22_summer_mean_c,sst22_summer_sd_c,sst23_summer_mean_c,sst23_summer_sd_c,sst24_summer_mean_c,sst24_summer_sd_c,region_code,region_name_label,samples,sites,mean_5yr_site
PP_SI,BC_PP,7,"Pacific Rim Park, British Columbia",48.992217,13.9168701171875,0.6624335050582886,14.536763191223145,0.6206808090209961,14.757598876953125,1.8412290811538696,14.43817138671875,1.3412054777145386,14.43817138671875,1.3412054777145386,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.417514991760253
PP_MB,BC_PP,7,"Pacific Rim Park, British Columbia",48.9742134444333,13.707790410252422,0.6644287109375,14.364794237737915,0.5253961601343115,14.538254578119474,1.7308795471345237,14.2060824529113,1.35936440679039,14.2060824529113,1.35936440679039,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.204600826386482
PP_HI,BC_PP,7,"Pacific Rim Park, British Columbia",48.95144225,13.85810375213623,0.6759434938430786,14.51385498046875,0.575182318687439,14.702178955078125,1.7896896600723267,14.422139167785645,1.304548978805542,14.422139167785645,1.304548978805542,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.383683204650879
PP_JJ,BC_PP,7,"Pacific Rim Park, British Columbia",48.9222545,13.801411628723145,0.6761195659637451,14.48131275177002,0.5395805835723877,14.639872550964355,1.7393897771835327,14.39411449432373,1.288234829902649,14.39411449432373,1.288234829902649,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.342165184020995
PP_G,BC_PP,7,"Pacific Rim Park, British Columbia",48.9123,13.774434089660645,0.6630690097808838,14.472697257995605,0.5297480225563049,14.621195793151855,1.7155629396438599,14.38463306427002,1.2667009830474854,14.38463306427002,1.2667009830474854,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.327518653869628
PP_C,BC_PP,7,"Pacific Rim Park, British Columbia",48.88829575,13.66222095489502,0.7353070974349976,14.26762866973877,0.4897485077381134,14.46112060546875,1.7261422872543335,14.11457347869873,1.445239782333374,14.11457347869873,1.445239782333374,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.1240234375
PP_E,BC_PP,7,"Pacific Rim Park, British Columbia",48.877066666675,13.66736888885498,0.7037841081619263,14.324748039245605,0.46345990896224976,14.480204582214355,1.6890488862991333,14.205607414245605,1.3709957599639893,14.205607414245605,1.3709957599639893,BC_PP,"Pacific Rim Park, British Columbia",129,13,14.17670726776123
PS_BB,WA_PS,8,"Padilla Bay, Washington",48.728286665,14.91132640838623,2.5202276706695557,14.481404304504395,1.4381874799728394,15.672282218933105,2.656470775604248,14.585052490234375,1.2983547449111938,14.585052490234375,1.2983547449111938,WA_PSa,"Puget Sound & Padilla Bay, Washington",165,11,14.847023582458496
PS_BP,WA_PS,8,"Padilla Bay, Washington",48.728233,14.91132640838623,2.5202276706695557,14.481404304504395,1.4381874799728394,15.672282218933105,2.656470775604248,14.585052490234375,1.2983547449111938,14.585052490234375,1.2983547449111938,WA_PSa,"Puget Sound & Padilla Bay, Washington",165,11,14.847023582458496
PS_NC,WA_PS,8,"San Juan Islands, Washington",48.70442085,13.20313549041748,1.5753083229064941,14.314961433410645,1.1645512580871582,14.96570873260498,2.461404323577881,13.91460132598877,1.2391382455825806,13.91460132598877,1.2391382455825806,WA_PSb,"Puget Sound & Padilla Bay, Washington",165,11,14.062601661682129
PS_BH,WA_PS,8,"San Juan Islands, Washington",48.6917997,13.354156494140625,1.7289599180221558,14.107645988464355,1.2039655447006226,14.95777416229248,2.4734392166137695,13.79065990447998,1.2766669988632202,13.79065990447998,1.2766669988632202,WA_PSb,"Puget Sound & Padilla Bay, Washington",165,11,14.000179290771484
PS_IC,WA_PS,8,"San Juan Islands, Washington",48.56302955,12.45569896697998,1.450351595878601,12.927754402160645,1.0717873573303223,14.21722412109375,2.3044071197509766,12.888997077941895,1.2021504640579224,12.888997077941895,1.2021504640579224,WA_PSb,"Puget Sound & Padilla Bay, Washington",165,11,13.075734329223632
