motu,motu_swarm,asv,curated,lulu_rank,found_taxa,common_name,rank,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,remove
motu37,motu37,ASV1680,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1697,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1701,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1714,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1742,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1743,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1829,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1842,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1854,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1869,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1943,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV1977,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu37,motu37,ASV2029,parent,38,Bos,Cow,offtarget,100,2.61e-84,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
