"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"125","filtered20250425_PECOe-167_S128_R1_001",237389,237389,237389,237389,237277,236943,232185,231512,220597,97.8539850048677,99.7101449275362,95.285341580566
"126","filtered20250425_PECOe-168_S129_R1_001",156436,156436,156436,156436,156403,156245,154290,154290,154290,98.6490028963639,100,100
"127","filtered20250425_PECOe-169_S130_R1_001",229567,229567,229567,229567,229484,229144,215497,215428,215080,93.9050217008593,99.9679809927748,99.8384611099764
"128","filtered20250425_PECOe-170_S131_R1_001",239411,239411,239411,239411,239338,239089,234836,234789,232277,98.1189781814839,99.9799860328059,98.9301031990425
"129","filtered20250425_PECOe-171_S132_R1_001",35,35,35,35,33,33,33,33,33,100,100,100
"130","filtered20250425_PECOe-172_S133_R1_001",276086,276086,276086,276086,275934,275543,270275,269978,261384,97.949147259852,99.8901119230413,96.8167776633652
"131","filtered20250425_PECOe-173_S134_R1_001",218374,218374,218374,218374,218216,217650,213505,212486,205162,97.8411298896506,99.5227278049694,96.5531846804025
"132","filtered20250425_PECOe-174_S135_R1_001",252380,252380,252380,252380,252172,251849,246491,242914,234460,97.7471725647574,98.5488313974952,96.5197559630157
"133","filtered20250425_PECOe-175_S136_R1_001",266500,266500,266500,266500,266223,265665,260378,256170,224830,97.8044721906071,98.3838880396961,87.7659366826717
"134","filtered20250425_PECOe-177_S138_R1_001",287411,287411,287411,287411,287285,286997,283018,282864,278776,98.5147153523505,99.9455864997986,98.554782510323
"135","filtered20250425_PECOe-178_S139_R1_001",237358,237358,237358,237358,237225,236941,234192,233904,228843,98.7214669617452,99.8770239803238,97.8362918120255
"136","filtered20250425_PECOe-179_S140_R1_001",256242,256242,256242,256242,256156,255858,252320,252027,246743,98.5024750542638,99.8838776157261,97.9033992389704
"137","filtered20250425_PECOe-180_S141_R1_001",261852,261852,261852,261852,261690,261379,257239,256294,250779,98.2991325614276,99.632637352812,97.8481743622558
"138","filtered20250425_PECOe-181_S142_R1_001",62541,62541,62541,62541,62527,62436,61886,61886,122,98.9748428678811,100,0.19713667065249
"139","filtered20250425_PECOe-182_S143_R1_001",240264,240264,240264,240264,240155,239824,236877,236858,232377,98.6350481980388,99.9919789595444,98.1081491864324
"140","filtered20250425_PECOe-183_S144_R1_001",237753,237753,237753,237753,237605,237316,233855,233828,220127,98.4217503840407,99.9884543841269,94.1405648596404
"141","filtered20250425_PECOe-184_S145_R1_001",89667,89667,89667,89667,89603,89493,87483,87483,87262,97.6340077899177,100,99.7473794908725
"142","filtered20250425_PECOe-185_S146_R1_001",212895,212895,212895,212895,212772,212500,209206,207660,196200,98.3240275976162,99.2610154584477,94.4813637676972
"143","filtered20250425_PECOe-186_S147_R1_001",258997,258997,258997,258997,258716,258214,254578,251829,240003,98.4005627792638,98.9201737777813,95.3039562560309
"144","filtered20250425_PECOe-187_S148_R1_001",220498,220498,220498,220498,220359,219400,216566,216189,210642,98.2787179103191,99.8259191193447,97.4341895286069
"145","filtered20250425_PECOe-188_S149_R1_001",241333,241333,241333,241333,241283,241063,234851,234533,234533,97.3342506517243,99.864594998531,100
"146","filtered20250425_PECOe-189_S150_R1_001",101848,101848,101848,101848,101830,101725,100625,100625,100511,98.8166552096632,100,99.8867080745342
"147","filtered20250425_PECOe-190_S151_R1_001",213228,213228,213228,213228,213187,212738,209957,209921,209885,98.484898234883,99.9828536319341,99.9828506914506
"148","filtered20250425_PECOe-191_S152_R1_001",266984,266984,266984,266984,266679,266330,262558,260810,222712,98.4546964702883,99.3342423388356,85.3924312718071
"149","filtered20250425_PECOe-192_S153_R1_001",279423,279423,279423,279423,279184,278884,274829,273908,254051,98.4400968536879,99.6648825269531,92.7504855644961
"150","filtered20250425_PECOe-193_S154_R1_001",269001,269001,269001,269001,268847,268432,264089,263839,240395,98.2302201623972,99.9053349439015,91.1142780256141
"151","filtered20250425_PECOe-194_S155_R1_001",243091,243091,243091,243091,242959,242560,238491,237974,222972,98.1610065895892,99.7832203311655,93.6959499777287
"152","filtered20250425_PECOe-196_S157_R1_001",49720,49720,49720,49720,49699,49628,48912,48912,48912,98.4164671321355,100,100
"153","filtered20250425_PECOe-197_S158_R1_001",306487,306487,306487,306487,306397,305869,300639,300616,300616,98.1207387800794,99.9923496286244,100
"154","filtered20250425_PECOe-198_S159_R1_001",242565,242565,242565,242565,242485,241988,238209,237493,230010,98.2365919541415,99.6994236153966,96.8491702913349
"155","filtered20250425_PECOe-199_S160_R1_001",230905,230905,230905,230905,230843,230533,227823,227003,223314,98.6917515367588,99.6400714589835,98.374911344784
"156","filtered20250425_PECOe-200_S161_R1_001",258841,258841,258841,258841,258758,258443,254380,253922,241259,98.3080716345002,99.8199543989307,95.0130354990903
"157","filtered20250425_PECOe-201_S162_R1_001",245290,245290,245290,245290,245150,244734,241330,239698,204750,98.4417703446869,99.3237475655741,85.4199868167444
"158","filtered20250425_PECOe-202_S163_R1_001",258940,258940,258940,258940,258847,258362,254247,253456,244275,98.2228884244361,99.688885217918,96.3776750205164
"159","filtered20250425_PECOe-203_S164_R1_001",262606,262606,262606,262606,262429,261867,257083,256247,246070,97.9628775783164,99.6748131926265,96.0284413085812
"160","filtered20250425_PECOe-204_S165_R1_001",277190,277190,277190,277190,277079,276710,272117,271679,258585,98.2091750006316,99.8390398247813,95.1803415059684
"161","filtered20250425_PECOe-205_S166_R1_001",81,81,81,81,80,80,80,80,80,100,100,100
"162","filtered20250425_PECOe-206_S167_R1_001",229616,229616,229616,229616,229540,229328,226474,226455,222681,98.664285091923,99.9916105159974,98.3334437305425
"163","filtered20250425_PECOe-207_S168_R1_001",259039,259039,259039,259039,258905,258452,254531,253696,248306,98.3105772387555,99.6719456569141,97.8754099394551
"164","filtered20250425_PECOe-208_S169_R1_001",209124,209124,209124,209124,209049,208676,204627,203251,200668,97.884706456381,99.3275569695104,98.7291575441203
"165","filtered20250425_PECOe-209_S170_R1_001",255671,255671,255671,255671,255205,254861,252029,250398,227161,98.7555102760526,99.3528522511298,90.7199738017077
"166","filtered20250425_PECOe-210_S171_R1_001",161669,161669,161669,161669,161628,161382,157609,156628,156399,97.5134258915534,99.3775736157199,99.8537937022755
"167","filtered20250425_PECOe-211_S172_R1_001",311873,311873,311873,311873,311657,310542,303914,302215,272378,97.5155379150797,99.4409602716558,90.1272273050643
"168","filtered20250425_PECOe-212_S173_R1_001",323828,323828,323828,323828,323545,323105,316026,315577,286427,97.676057426324,99.857923082278,90.7629516726504
"169","filtered20250425_PECOe-213_S174_R1_001",267411,267411,267411,267411,267276,266863,260839,260779,254531,97.5916281297236,99.9769973048509,97.6041015572573
"170","filtered20250425_PECOe-214_S175_R1_001",261475,261475,261475,261475,261192,260842,256369,255516,239721,98.1534656497902,99.6672764647832,93.8183910205232
"171","filtered20250425_PECOe-216_S177_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"172","filtered20250425_PECOe-217_S178_R1_001",216383,216383,216383,216383,216323,216057,212006,211778,202868,98.0043730902401,99.8924558738904,95.7927641209191
"173","filtered20250425_PECOe-218_S179_R1_001",246540,246540,246540,246540,246437,246044,241810,239847,238118,98.1224410295532,99.1882056159795,99.2791237747397
"174","filtered20250425_PECOe-219_S180_R1_001",1866278,1866278,1866278,1866278,1865794,1863871,1808033,1803354,1754633,96.9042134340662,99.7412104756937,97.2983119232275
"175","filtered20250425_PECOe-220_S181_R1_001",249109,249109,249109,249109,249002,248669,242914,241710,233958,97.5550397185565,99.504351334217,96.7928509370734
"176","filtered20250425_PECOe-221_S182_R1_001",110,110,110,110,109,107,107,107,107,98.1651376146789,100,100
"177","filtered20250425_PECOe-222_S183_R1_001",94890,94890,94890,94890,94844,94699,92912,92821,92764,97.9629707730589,99.902057861202,99.9385914825309
"178","filtered20250425_PECOe-223_S184_R1_001",208214,208214,208214,208214,208071,207771,203654,203625,191297,97.8771669285965,99.9857601618431,93.9457335788828
"179","filtered20250425_PECOe-224_S185_R1_001",304440,304440,304440,304440,304270,303823,300226,299621,288022,98.6709172774181,99.7984851411936,96.1287760203724
"180","filtered20250425_PECOe-225_S186_R1_001",240830,240830,240830,240830,240591,239851,236031,235307,206035,98.1046672568799,99.6932606310188,87.5600810855606
"181","filtered20250425_PECOe-227_S188_R1_001",284361,284361,284361,284361,284289,283989,278919,278919,278919,98.111077108154,100,100
"182","filtered20250425_PECOe-228_S189_R1_001",275244,275244,275244,275244,275173,274898,270958,270804,270804,98.4682363458624,99.9431646232996,100
"183","filtered20250425_PECOe-229_S190_R1_001",263417,263417,263417,263417,263349,262961,257254,257254,255815,97.685580731273,100,99.4406306607477
"184","filtered20250425_PECOe-230_S191_R1_001",221095,221095,221095,221095,221052,220787,217242,217242,217242,98.2764236469247,100,100
"185","filtered20250425_PECOe-231_S354_R1_001",152733,152733,152733,152733,152668,152435,150507,150443,79679,98.5845101789504,99.9574770608676,52.9629161875262
