SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
65	1109	4813	4543
66	1109	4635	4414
67	1109	4674	4472
68	1109	5976	5690
69	1109	5146	4874
70	1109	6562	6234
71	1109	5517	5215
72	1109	4910	4667
73	1109	4452	4232
74	1109	5994	5695
75	1109	5144	4914
76	1109	1952	1839
77	1109	6443	6141
78	1109	7973	7563
79	1109	5837	5556
80	1109	3700	3497
81	1109	5288	5042
82	1109	7117	6797
83	1109	5938	5688
84	1109	4829	4579
85	1109	6324	6054
86	1109	5882	5575
87	1109	5808	5510
88	1109	5071	4773
89	1109	4747	4506
90	1109	5467	5205
91	1109	4462	4233
92	1109	5224	4944
93	1109	5472	5192
94	1109	5300	5035
95	1109	6328	6052
96	1109	4745	4519
97	1109	8582	8221
98	1109	6027	5690
99	1109	6520	6207
100	1109	6185	5895
101	1109	5399	5146
102	1109	4733	4459
103	1109	5677	5421
104	1109	4009	3839
105	1109	4614	4394
106	1109	6578	6191
107	1109	6355	5974
108	1109	9164	8757
109	1109	165	97
110	1109	9390	8941
111	1109	6662	6378
112	1109	4789	4589
113	1109	6269	5971
114	1109	6584	6249
115	1109	5884	5591
116	1109	5047	4796
117	1109	7192	6874
118	1109	5564	5212
119	1109	3522	3362
120	1109	4021	3813
121	1109	5188	4983
122	1109	3912	3713
123	1109	4645	4433
124	1109	4440	4231
125	1109	6945	6250
126	1109	5016	4807
127	1109	86	67
128	1109	415	316
129	1109	47	40
130	1109	7	4
131	1109	110	62
132	1109	116	69
133	1109	11	9
134	1109	31	25
0	1110	91937	62799
1	1110	4639	4394
2	1110	2679	2509
3	1110	4292	4099
4	1110	6393	6037
5	1110	4460	4239
6	1110	3655	3432
7	1110	6353	6010
8	1110	2706	2572
9	1110	6612	6287
10	1110	6368	6019
11	1110	3610	3457
12	1110	5303	5019
13	1110	4887	4658
14	1110	6480	6128
15	1110	5718	5439
16	1110	5028	4743
17	1110	7476	7111
18	1110	5386	5093
19	1110	5433	5181
20	1110	5622	5366
21	1110	5096	4863
22	1110	5198	4932
23	1110	4505	4268
